paperId,year,fieldsOfStudy
89f6cfba448b31396a7dcbee1c0f1b9d0b72a91f,2003.0,"['Medicine', 'Biology']"
619e4bf950f2ac7310f30c08110ae0ff7bdfce9f,2004.0,"['Medicine', 'Biology']"
8b12db91c31cd4a723270f3cbb56f7919581bb02,2004.0,['Medicine']
e63fa4b1468e07143b2edd5661a3169384cf3fc8,2004.0,"['Medicine', 'Biology']"
83b05e8afa6cbe7a68170ee155f7eca37c91d51f,2005.0,"['Biology', 'Medicine']"
8d7400a2b387820cd391d7df8194642e50402a0c,2005.0,"['Biology', 'Medicine']"
90c1ab8b02263998f809915b0629da5aa1cbc47a,2005.0,['Medicine']
72ace5af731fdf4c384e912b074193d13902b7a1,2005.0,"['Biology', 'Medicine']"
d16e1bd4c6cae1bb55dbc695c5e2ba5105a13921,2005.0,"['Medicine', 'Biology']"
dce8be353f8ed76957af86118e1b77fd82f54292,2005.0,"['Biology', 'Medicine']"
65cc7496f21429d81b3ae129d9c39764e2a1f568,2005.0,['Medicine']
b9ec669b9cbda4e34779dd9c151fa42a6b6359eb,2005.0,['Medicine']
7aa3c6793455d0748b58fc6ff75ab336b2863c6c,2005.0,"['Medicine', 'Computer Science']"
c9d34529df3d027fc86144a37dbeeb61e0d07580,2005.0,"['Biology', 'Medicine']"
00404a94345ac89265e3d6199a8d1720b9cb258c,2004.0,['Medicine']
d617306cda56236d02117ae7a5fc5e7fcd015554,2005.0,"['Biology', 'Medicine']"
91d40cd5d89ffba816853e8c50fad9845f4126f7,2005.0,"['Medicine', 'Biology']"
6f07f87e8ef78f0416556e69c88247e588f9192c,2005.0,"['Biology', 'Medicine']"
008d53b5939c2b52e5f89bc47f9beb4a4ea63dfb,2005.0,"['Medicine', 'Biology']"
198ed53d956a2707716d175cc6516bb720f52d82,2005.0,"['Medicine', 'Computer Science']"
68b905ee32b8aad54ae9006fc7aab007c63e9895,2005.0,"['Medicine', 'Biology']"
7383e3f8147b5f1880a9c625920d703666a29be2,2005.0,['Medicine']
0ed2de0f4de5086302be74e533953a1d553ea602,2005.0,['Medicine']
6d7084462a7462edc93ce2d350bf6dd08c232ef4,2005.0,"['Biology', 'Medicine']"
b43c54d12d5d8163b523b7625ba4bd4b64604350,2005.0,['Medicine']
