paperId,year,fieldsOfStudy
5938b0be5d7696d37c227bc647bcbc3f7f3ae18b,2018.0,['Medicine']
485b745f048cbac696175c1ca05eee8fb46ba026,2017.0,"['Medicine', 'Biology']"
bc7b16d381d2acf67eb97db19f1686c90d72ecf1,2018.0,
fc83785220bddefb3ae13e33fc3a49f9290cdc84,2018.0,['Medicine']
46e6c155f1b7e6d93735e45da3f93b0f1ae63113,2018.0,['Medicine']
bfbb1dddd2a6d304edf8c9cf1086613210f4a8f6,2018.0,"['Biology', 'Medicine']"
874f40532ed0f1d42020ef30a30f1da8541e4900,2018.0,"['Geography', 'Medicine']"
c8544c661d752168b4de542fda891855d77896a7,2018.0,"['Medicine', 'Biology']"
ba20779ece1dcdcb82de9e0b9cccb55b7c7425c9,2018.0,['Medicine']
dc522664a7fd404e4e58448210812247a002e06f,2018.0,['Medicine']
3e86a490327b0f473d776363d3f2e67ddd04d681,2018.0,"['Biology', 'Medicine']"
f53e71ce56d4a12b0cdd46c8f65210ae3eb078dc,2018.0,"['Biology', 'Medicine']"
59cbbd255acc779e36311d1c4f5be34bdc904888,2018.0,
024d0bef5417a110fb52607e85ec80eb4d7d92a3,2018.0,"['Chemistry', 'Medicine']"
420944cb316179f6529d1d7a99d92910df8e49a5,2018.0,"['Biology', 'Medicine']"
aa2ed61346b7c005b96d661476a671b555b2a93a,2018.0,['Medicine']
9fdf9d656c7c79e8d8746fb3a5beeff11894dc8e,2018.0,"['Geography', 'Medicine']"
58432d2ad49266df441de364700684534498b777,2018.0,
0f59ebfcd23f34efd9faee1760ac137a9748d81c,2018.0,['Medicine']
3e7cfb0f2665388e6a1f1d8a92b16d16f65563ea,2018.0,['Medicine']
e18358325d65bee698980b7433a62923fcca051a,2018.0,
34e11e290d25709bbe4a448c970b54162f457902,2018.0,"['Biology', 'Medicine']"
57e168131391d871fa93444a1741f3f2b4403d45,2018.0,"['Medicine', 'Biology']"
967d38f4ad5cf7e11f8c5a602c8df4f22a507654,2018.0,"['Medicine', 'Biology']"
944f574a3d37e76e4d5a5d23c870733622b02dc9,2018.0,['Medicine']
a2e2beb6ce9597d9a4162f1399ed1a92cc010b66,2018.0,"['Biology', 'Medicine']"
daf5c921872ab27dc1a714408f626f49c71480e1,2018.0,"['Biology', 'Medicine']"
bd067c850dd16252d8c195caeb129a3e304e5700,2018.0,"['Medicine', 'Chemistry']"
